--bus section
i, v, theta
1, 0, 0.0692215
2, 0, 0.0609338
3, 0, 0.06066
4, 0, 0.177415
5, 0, 0.177266
6, 0, 0.166465
7, 0, 0.181663
8, 0, 0.277994
9, 0, 0.218343
10, 0, 0.117312
11, 0, 0.171494
12, 0, 0.269677
13, 0, 0.267361
14, 0, 0.193228
15, 0, 0.0905961
16, 0, 0.0700369
17, 0, 0.0998429
18, 0, 0.0999568
19, 0, 0.203277
20, 0, 0.201114
21, 0, 0.149149
22, 0, 0.205696
23, 0, 0.142249
24, 0, 0.239549
25, 0, 0.249483
26, 0, 0.124419
27, 0, 0.144202
28, 0, 0.12253
29, 0, 0.122572
30, 0, 0.0694257
31, 0, 0.0491078
32, 0, 0.0779235
33, 0, 0.220118
34, 0, 0.222209
35, 0, 0.0581197
36, 0, 0.0658877
37, 0, 0.0806754
38, 0, 0.0568984
39, 0, 0.106482
40, 0, -0.0628537
41, 0, -0.0629979
42, 0, -0.0733524
43, 0, -0.0732849
44, 0, -0.184852
45, 0, -0.0390246
46, 0, 0.0109762
47, 0, 0.0340894
48, 0, 0.00477332
49, 0, -0.0396737
50, 0, -0.0397984
51, 0, -0.154297
52, 0, -0.0102595
53, 0, -0.0105521
54, 0, -0.00418122
55, 0, -0.0100443
56, 0, -0.0101804
57, 0, -0.124923
58, 0, -0.119737
59, 0, -0.0164874
60, 0, -0.0167002
61, 0, -0.126305
62, 0, -0.14155
63, 0, 0.00725601
64, 0, -0.102961
65, 0, 0.0390762
66, 0, -0.128624
67, 0, -0.139078
68, 0, 0.0176689
69, 0, -0.0262683
70, 0, -0.0252137
71, 0, -0.00695742
72, 0, -0.0242792
73, 0, -0.131682
74, 0, -0.100233
75, 0, -0.145295
76, 0, -0.129711
77, 0, -0.178476
78, 0, -0.192806
79, 0, -0.207601
80, 0, -0.174368
81, 0, -0.175067
82, 0, -0.203182
83, 0, 0.00815612
84, 0, 0.00596061
85, 0, -0.0100194
86, 0, -0.0100194
87, 0, -0.0262713
88, 0, -0.18447
89, 0, -0.20092
90, 0, -0.201089
91, 0, -0.208851
92, 0, -0.208278
93, 0, -0.157187
94, 0, -0.176538
95, 0, -0.175992
