--generator section
i, id, p, q, x_gk_on, x_gk_su, x_gk_sd
615, 1, 4.35077, 4.03906, 0.131983, 0.758278, 0.483743
608, 1, 13.1627, 9.04934, 0.55633, 0.715935, 0.854098
603, 1, 10.5637, -2.87179, 0.829452, 0.522208, 0.142376
596, 1, 1.84504, -0.392243, 0.302566, 0.648276, 0.153889
589, 1, 2.218, 1.37066, 0.66778, 0.838434, 0.34013
586, 1, 6.12011, -6.96699, 0.528895, 0.300023, 0.761098
583, 1, 7.11976, 7.84975, 0.434194, 0.592891, 0.391205
582, 1, 2.93288, -9.84715, 0.545177, 0.887711, 0.357572
577, 1, 9.87639, -9.55796, 0.488452, 0.0131581, 0.0510024
576, 1, 7.06665, 2.85221, 0.322631, 0.683301, 0.944275
575, 1, 5.01508, 1.37246, 0.754633, 0.173443, 0.171328
617, 1, 8.66728, -3.28473, 0.948436, 0.0364839, 0.923583
520, 1, 2.17726, 3.33182, 0.12592, 0.0631802, 0.602143
567, 1, 6.03786, 4.61692, 0.287777, 0.494469, 0.328688
612, 1, 3.35269, -1.53041, 0.627378, 0.121197, 0.105576
515, 1, 5.37994, -8.09531, 0.824972, 0.551605, 0.497222
562, 2, 7.42453, -1.30448, 0.0144322, 0.133877, 0.969861
514, 1, 4.10961, 4.58172, 0.305216, 0.537765, 0.443153
561, 1, 9.91932, -6.8179, 0.0105997, 0.758988, 0.121384
513, 1, 6.03564, -4.38499, 0.789583, 0.970882, 0.517449
509, 1, 8.45259, -9.95055, 0.404021, 0.372397, 0.880859
508, 1, 7.54005, -2.08851, 0.734364, 0.643769, 0.642268
507, 1, 6.31826, -8.31803, 0.10611, 0.95266, 0.0819676
554, 1, 3.85137, 3.78765, 0.960849, 0.434743, 0.276982
502, 1, 5.20318, -5.04101, 0.704156, 0.0395462, 0.871187
549, 1, 8.01177, 8.23899, 0.366901, 0.415808, 0.786943
598, 1, 10.4895, -9.01072, 0.818981, 0.130037, 0.601154
501, 1, 1.67418, -0.45285, 0.723427, 0.303495, 0.114076
548, 1, 11.1415, -1.28571, 0.965055, 0.111091, 0.603896
496, 1, 9.91077, 6.31759, 0.294583, 0.439108, 0.843354
543, 1, 11.2723, 5.87496, 0.406813, 0.84872, 0.872603
523, 1, 7.60148, 4.60682, 0.976518, 0.861322, 0.907991
607, 1, 8.42802, 7.3998, 0.875274, 0.437488, 0.888386
510, 1, 7.43248, -4.69193, 0.654127, 0.203322, 0.275675
487, 1, 6.03952, -0.26155, 0.857234, 0.255766, 0.611167
597, 1, 9.55705, -7.44122, 0.749694, 0.479136, 0.237368
500, 1, 4.90811, -1.70693, 0.0866656, 0.269699, 0.405057
574, 1, 3.48488, -5.2703, 0.0914568, 0.989414, 0.033013
477, 1, 4.1088, -2.6099, 0.0605365, 0.409995, 0.234399
488, 1, 6.10592, -5.7076, 0.379189, 0.675881, 0.785328
578, 1, 2.11891, 0.985185, 0.661616, 0.628947, 0.74644
481, 1, 3.74454, -6.3785, 0.105661, 0.719961, 0.565756
528, 1, 9.16051, 0.372082, 0.668624, 0.399558, 0.526971
579, 1, 8.44431, -9.87066, 0.103065, 0.991632, 0.357714
482, 1, 1.45634, 7.78529, 0.153226, 0.550035, 0.275781
529, 1, 3.79681, 0.081559, 0.382277, 0.33881, 0.804469
590, 1, 9.22143, 3.65908, 0.121441, 0.754184, 0.442016
493, 1, 2.92186, 1.93437, 0.652419, 0.451261, 0.81996
483, 1, 3.22427, -4.29761, 0.0982121, 0.564674, 0.227191
591, 1, 4.30879, -6.52332, 0.826387, 0.633801, 0.751941
494, 1, 8.86821, -4.70401, 0.413031, 0.171615, 0.753616
495, 1, 3.52777, 2.88616, 0.84149, 0.155487, 0.2805
542, 1, 6.75841, -0.000431554, 0.236575, 0.0194247, 0.944415
521, 1, 7.04804, -3.0544, 0.357271, 0.647397, 0.0855325
568, 1, 8.44914, -4.1798, 0.0124272, 0.728163, 0.727014
522, 1, 10.1965, 2.00762, 0.14843, 0.453447, 0.459254
527, 1, 5.89258, 7.96103, 0.424067, 0.502075, 0.710344
531, 1, 9.15874, -8.62058, 0.0546035, 0.427653, 0.455374
533, 1, 4.64732, -5.69036, 0.966173, 0.778675, 0.20145
536, 1, 7.13816, 7.01415, 0.140327, 0.509681, 0.711545
537, 1, 0.106139, 4.63665, 0.216437, 0.0431297, 0.0543737
538, 3, 1.8186, 3.18185, 0.956421, 0.989977, 0.459962
544, 1, 4.21907, 3.78612, 0.621797, 0.754745, 0.759165
559, 1, 3.25546, 2.40144, 0.343434, 0.426522, 0.0419389
566, 1, 9.22394, -4.9708, 0.362021, 0.0814748, 0.0531795
476, 1, 14.3612, -7.56406, 0.534273, 0.0127486, 0.253298
573, 1, 6.98796, 5.74091, 0.922699, 0.202673, 0.398191
